shelf,A1
ship,A1
shirt,A1
shoe,A1
shop,A1
shopping,A1
short,A1
should,A1
shoulder,A1
shower,A1
shy,A1
sick,A1
side,A1
sight,A1
sign,A1
sing,A1
singer,A1
sir,A1
sister,A1
sit,A1
site,A1
six,A1
sixteen,A1
sixty,A1
size,A1
skill,A1
skirt,A1
sky,A1
slow,A1
small,A1
smart,A1
smell,A1
smile,A1
smith,A1
smoke,A1
smoking,A1
snake,A1
snow,A1
snowy,A1
soccer,A1
social,A1
sofa,A1
solve,A1
some,A1
someone,A1
something,A1
son,A1
song,A1
soon,A1
sorry,A1
soup,A1
speak,A1
special,A1
speech,A1
spell,A1
spend,A1
sport,A1
spot,A1
spring,A1
spy,A1
stage,A1
stand,A1
star,A1
start,A1
station,A1
still,A1
stone,A1
stop,A1
store,A1
story,A1
strange,A1
street,A1
strict,A1
strong,A1
student,A1
subject,A1
subway,A1
successful,A1
sugar,A1
suggestion,A1
sum,A1
summer,A1
sun,A1
Sunday,A1
sunny,A1
sunshine,A1
super,A1
supermarket,A1
sure,A1
surf,A1
surprise,A1
survey,A1
sweet,A1
swim,A1
swimming,A1
swimming pool,A1
table,A1
tall,A1
taxi,A1
tea,A1
teach,A1
teacher,A1
team,A1
technology,A1
telephone,A1
television,A1
tell,A1
temple,A1
ten,A1
tennis,A1
terrible,A1
test,A1
than,A1
thank,A1
thanks,A1
the,A1
theater/theatre,A1
their,A1
them,A1
then,A1
there,A1
these,A1
they,A1
thick,A1
thin,A1
thing,A1
think,A1
thirteen,A1
thirty,A1
this,A1
those,A1
three,A1
throw,A1
Thursday,A1
ticket,A1
tiger,A1
tight,A1
time,A1
tired,A1
to,A1
today,A1
together,A1
toilet,A1
tomato,A1
tomorrow,A1
tonight,A1
too,A1
tool,A1
tooth,A1
topic,A1
touch,A1
towel,A1
tower,A1
town,A1
toy,A1
train,A1
tree,A1
trip,A1
trousers,A1
truck,A1
true,A1
try,A1
T-shirt/tee-shirt,A1
tube,A1
Tuesday,A1
turkey,A1
turn,A1
TV,A1
twelve,A1
twenty,A1
two,A1
type,A1
ugly,A1
umbrella,A1
uncle,A1
under,A1
underline,A1
us,A1
usually,A1
vacation,A1
